dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.5513015744833772,0.024172733806205667,0.2497839239412273,0.012746632232083256,0.02023082145281738,480045,23140,456905,7365,11604,5780,5824,149
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.6620962493144005,0.02224901403025914,0.2251144576578652,0.007057453667266827,0.0405995067349649,498494,34729,463765,10542,11091,7818,3273,428
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.8278939797849127,0.02248063567039609,0.22617011843688645,0.008738345312059343,0.027101769911504425,499630,31578,468052,1808,11232,7142,4090,49
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.7577750519647918,0.014683927238439476,0.18936626659708936,0.0019870787203465903,0.03566445762120684,509060,34494,474566,11468,7475,6532,943,409
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.7943860005251503,0.023300665329820412,0.18658081510207067,0.00857721583573972,0.022181146025878003,495694,41001,454693,5951,11550,7650,3900,132
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6721461039925515,0.01113472510903888,0.18355325164938738,0.0021357492031933755,0.023836719408295102,513349,25464,487885,53405,5716,4674,1042,1273
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.532691219045228,0.021485927650861204,0.2223762650769444,0.005806416707244495,0.055844926485132194,498140,36065,462075,15167,10703,8020,2683,847
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.649122434271847,0.046319230841220624,0.25350449065097724,0.024995068422766914,0.03068222837203706,480837,44871,435966,8311,22272,11375,10897,255
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.5897899623549404,0.037267171280727145,0.2793562393807816,0.013837787963705212,0.1929001416430595,480235,42376,437859,11296,17897,11838,6059,2179
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6255077382327431,0.036083498806385485,0.22648902821316613,0.013736368510670756,0.014049586776859505,498067,52316,445751,3630,17972,11849,6123,51
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.7278570211221458,0.04012431398473653,0.26387289891779875,0.012349750564500349,0.009845721067205836,511286,56459,454827,22751,20515,14898,5617,224
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.631871895682895,0.06025724671451207,0.288086555153342,0.01987247837070008,0.009146341463414634,493534,74311,419223,328,29739,21408,8331,3
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.6548642460907691,0.04407832413692075,0.2514428953842821,0.014120997523181059,0.06985769728331177,511975,64627,447348,2319,22567,16250,6317,162
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7106678649562685,0.03637807468583113,0.2854958066107548,0.014573482738519335,0.06914893617021277,503710,40540,463170,1316,18324,11574,6750,91
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.7681398865538909,0.06173102686211044,0.28510605356866386,0.036619724438314086,0.11608475082065055,511315,51672,459643,3351,31564,14732,16832,389
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.6930336237138018,0.07348024064842028,0.2521325428831608,0.05259590442796251,0.008106355382619975,514111,53809,460302,6168,37777,13567,24210,50
16,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000879_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000879_gt_labelTrainIds.png,fog,0.6212249372933083,0.05143318419471036,0.2679733727810651,0.025699568853748685,0.0488061797752809,509146,54080,455066,2848,26187,14492,11695,139
17,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000884_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000884_gt_labelTrainIds.png,fog,0.6694276235881907,0.06567280962847336,0.24082226980728053,0.04296631229693326,0.02122948684553269,508658,58375,450283,7678,33405,14058,19347,163
18,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000889_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000889_gt_labelTrainIds.png,fog,0.5897757515690029,0.05119221566183994,0.2883697976640895,0.02576976482775341,0.040413533834586464,502342,48632,453710,1064,25716,14024,11692,43
19,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000894_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000894_gt_labelTrainIds.png,fog,0.7714867654060099,0.03369289352498588,0.21058838243965194,0.011975115276114263,0.2259810554803789,511829,55967,455862,739,17245,11786,5459,167
