dataset_index,image_path,label_path,condition,image_miou,pixel_error_rate,boundary_error_rate,interior_error_rate,dynamic_to_background_error_rate,valid_pixels,boundary_pixels,interior_pixels,gt_dynamic_pixels,error_pixels,boundary_error_pixels,interior_error_pixels,dynamic_to_background_error_pixels
0,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000761_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000761_gt_labelTrainIds.png,fog,0.4957337892179985,0.025635096709683468,0.24520311149524632,0.014515052363182719,0.01697216564833673,480045,23140,456905,7365,12306,5674,6632,125
1,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000769_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000769_gt_labelTrainIds.png,fog,0.643888182112615,0.02563120117794798,0.2446370468484552,0.009230968270568067,0.0351925630810093,498494,34729,463765,10542,12777,8496,4281,371
2,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000775_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000775_gt_labelTrainIds.png,fog,0.7147694597844901,0.020511178271921223,0.22870352777249983,0.0064650936220761795,0.025995575221238937,499630,31578,468052,1808,10248,7222,3026,47
3,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000781_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000781_gt_labelTrainIds.png,fog,0.7547358937652318,0.0161729462145916,0.19806343132138923,0.002952171036273142,0.0295605162190443,509060,34494,474566,11468,8233,6832,1401,339
4,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000788_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000788_gt_labelTrainIds.png,fog,0.805965468623296,0.02128934382905583,0.1730933391868491,0.007600732802132428,0.02033271719038817,495694,41001,454693,5951,10553,7097,3456,121
5,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000798_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000798_gt_labelTrainIds.png,fog,0.6998176333470907,0.013618415541863332,0.20016493873704053,0.0038820623712555215,0.022994101675873044,513349,25464,487885,53405,6991,5097,1894,1228
6,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000826_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000826_gt_labelTrainIds.png,fog,0.52573050810943,0.02211426506604569,0.2251490364619437,0.0062673808364443005,0.05755917452363684,498140,36065,462075,15167,11016,8120,2896,873
7,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000834_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000834_gt_labelTrainIds.png,fog,0.6169131716156306,0.04547694956918873,0.2537942100688641,0.0240362780583807,0.023342558055588977,480837,44871,435966,8311,21867,11388,10479,194
8,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000840_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000840_gt_labelTrainIds.png,fog,0.5265280486290123,0.09226732745426718,0.2777043609590334,0.07432072881909473,0.18351628895184136,480235,42376,437859,11296,44310,11768,32542,2073
9,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000845_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000845_gt_labelTrainIds.png,fog,0.6488625571985916,0.03275663715925769,0.22583913143206666,0.010095322276338135,0.017079889807162536,498067,52316,445751,3630,16315,11815,4500,62
10,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000850_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000850_gt_labelTrainIds.png,fog,0.6838253900262987,0.04019472467464394,0.2501106997998548,0.01413724339144334,0.007252428464682871,511286,56459,454827,22751,20551,14121,6430,165
11,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000854_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000854_gt_labelTrainIds.png,fog,0.6538709919929916,0.05375921415748459,0.28430514997779605,0.012892899483091339,0.012195121951219513,493534,74311,419223,328,26532,21127,5405,4
12,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000859_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000859_gt_labelTrainIds.png,fog,0.7211342991452824,0.03798622979637677,0.23788818914695095,0.009107003943238821,0.11513583441138421,511975,64627,447348,2319,19448,15374,4074,267
13,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000864_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000864_gt_labelTrainIds.png,fog,0.7195705404665098,0.03329296619086379,0.2667982239763197,0.012854891292613944,0.05623100303951368,503710,40540,463170,1316,16770,10816,5954,74
14,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000869_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000869_gt_labelTrainIds.png,fog,0.7820615325076282,0.052879340523943164,0.26039247561542034,0.029551195166683707,0.13727245598328858,511315,51672,459643,3351,27038,13455,13583,460
15,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000874_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000874_gt_labelTrainIds.png,fog,0.6643180988419104,0.07909575947606645,0.26902562768310134,0.05689308323665767,0.011835278858625162,514111,53809,460302,6168,40664,14476,26188,73
16,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000879_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000879_gt_labelTrainIds.png,fog,0.6301918690347854,0.05310657453854101,0.26129807692307694,0.028365116268848915,0.05021067415730337,509146,54080,455066,2848,27039,14131,12908,143
17,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000884_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000884_gt_labelTrainIds.png,fog,0.6547932179885282,0.06607583091192903,0.23093790149892934,0.044702997892436536,0.017973430580880436,508658,58375,450283,7678,33610,13481,20129,138
18,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000889_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000889_gt_labelTrainIds.png,fog,0.5914377932922906,0.05495260201217497,0.2896652409935845,0.029794362037424787,0.02537593984962406,502342,48632,453710,1064,27605,14087,13518,27
19,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000894_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000894_gt_labelTrainIds.png,fog,0.7096780566530191,0.03514259645311227,0.22370325370307503,0.011992664446696588,0.2571041948579161,511829,55967,455862,739,17987,12520,5467,190
20,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000899_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000899_gt_labelTrainIds.png,fog,0.6779973636414464,0.032180522169267325,0.2280019533722802,0.008040241341021284,0.003896857640328331,503783,55289,448494,12061,16212,12606,3606,47
21,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000904_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000904_gt_labelTrainIds.png,fog,0.5984033313192583,0.027347351038501926,0.2146038781163435,0.00872950648103062,0.043845371312309256,498988,45125,453863,9830,13646,9684,3962,431
22,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000910_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000910_gt_labelTrainIds.png,fog,0.6814563107435826,0.030665308852506432,0.22635727819232299,0.012282798808194977,0.0118486138272173,497859,42751,455108,8693,15267,9677,5590,103
23,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000916_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000916_gt_labelTrainIds.png,fog,0.7397279684155154,0.0531991085468273,0.2618090302597093,0.02082476323415899,0.017900338655055636,499858,67152,432706,10335,26592,17581,9011,185
24,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000921_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000921_gt_labelTrainIds.png,fog,0.6026178816982007,0.023728766243736304,0.2081156273325643,0.0059021627413676225,0.02793277139901294,501501,44211,457290,58963,11900,9201,2699,1647
25,/home/user/DATA/awseg/data/raw/rgb_anon/fog/val/GOPR0476/GOPR0476_frame_000926_rgb_anon.png,/home/user/DATA/awseg/data/raw/gt/fog/val/GOPR0476/GOPR0476_frame_000926_gt_labelTrainIds.png,fog,0.648798280361225,0.02770408899289916,0.2384259915516117,0.011679024110490424,0.022764575751088274,499096,35273,463823,14013,13827,8410,5417,319
